Store Name,SKU,Product Name,Opening Stock (Table),Movement History,Expected Stock,Current Stock (DB),Discrepancy
สาขา0000,SKU-889591-4ywwq,เป่าฟองใส-คิตตี้ KT-7102-D12,1,0,1,0,-1
สาขา0000,SKU-889591-j1663,กระดานโต้คลื่น 17 นิ้ว,1806,839,2645,2759,114
สาขา0000,SKU-889591-uok8p,กระดานโต้คลื่น 33 นิ้ว,2192,1032,3224,3432,208
สาขา0000,SKU-889591-p2sq3,สน๊อกเกิ้ลดำน้ำ 594,152,340,492,840,348
สาขา0000,SKU-889591-0gt9j,กระดานโต้คลื่น 41 นิ้ว,1693,1098,2791,3270,479
สาขา0000,SKU-889591-154go,แพยางเป่าลมแฟนซี คละแบบ,1326,5147,6473,7117,644
สาขา0000,SKU-889591-59ypf,ห่วงยางเป่าลมแฟนซี คละแบบ,1343,5201,6544,7201,657
สาขา0000,SKU-889591-vt30v,สน๊อกเกิ้ลดำน้ำ 250,965,892,1857,3192,1335
สาขา0000,SKU-889591-k7i2m,โฟมช่วยลอยน้ำพร้อมข้อต่อ 7 CM.,327,1454,1781,5954,4173
สาขา0003,SKU-889591-k7i2m,โฟมช่วยลอยน้ำพร้อมข้อต่อ 7 CM.,4309,-2341,1968,-1926,-3894
สาขา0003,SKU-889591-dhpob,รองเท้าชายหาดผู้ใหญ่ คละแบบ,3251,-300,2951,-85,-3036
สาขา0003,SKU-889591-r4v6a,กระเป๋ากันน้ำขนาด 3 ลิตร,3129,-757,2372,-304,-2676
สาขา0003,SKU-889591-5myie,กระเป๋ากันน้ำขนาด 25 ลิตร,2814,-470,2344,-179,-2523
สาขา0003,SKU-889591-ovxot,กระเป๋ากันน้ำขนาด 10 ลิตร,2508,-772,1736,-280,-2016
สาขา0003,SKU-889591-loap6,กระเป๋ากันน้ำขนาด 5 ลิตร,2431,-789,1642,-311,-1953
สาขา0003,SKU-601551-mt6ah,แว่นตาว่ายน้ำ PVC คละแบบ,2494,-860,1634,-251,-1885
สาขา0003,SKU-889591-ugf30,จานร่อน,2229,-1024,1205,-547,-1752
สาขา0003,SKU-889591-wtdol,กระเป๋ากันน้ำขนาด 2 ลิตร,1617,-57,1560,-44,-1604
สาขา0003,SKU-889591-0gt9j,กระดานโต้คลื่น 41 นิ้ว,1425,-227,1198,-275,-1473
สาขา0003,SKU-889591-uok8p,กระดานโต้คลื่น 33 นิ้ว,1403,-424,979,-448,-1427
สาขา0003,SKU-889591-j1663,กระดานโต้คลื่น 17 นิ้ว,1318,-551,767,-531,-1298
สาขา0003,SKU-889591-tfosx,ของเล่น คละแบบ,1235,117,1352,174,-1178
สาขา0003,SKU-889591-ywbdk,รองเท้าชายหาดเด็ก คละแบบ,1053,-8,1045,-7,-1052
สาขา0003,SKU-889591-yy000,กระเป๋ากันน้ำขนาด 1.5 ลิตร,1038,-68,970,-31,-1001
สาขา0003,SKU-889591-f1nt4,กระเป๋ากันน้ำขนาด 20 ลิตร,1061,-345,716,-166,-882
สาขา0003,SKU-889591-bsv2m,รองเท้าชายหาด รุ่นสปอร์ท คละแบบ,879,-114,765,-102,-867
สาขา0003,SKU-889591-4ajwv,กระเป๋ากันน้ำขนาด 15 ลิตร,1165,-592,573,-285,-858
สาขา0003,SKU-889591-azjcd,โฟมช่วยลอยน้ำพร้อมข้อต่อ 6 CM.,863,-36,827,-24,-851
สาขา0003,SKU-889591-fkf1o,เสื้อชูชีพ (M),753,-3,750,-2,-752
สาขา0003,SKU-889591-to2e5,หน้ากากดำน้ำ คละแบบ,1559,-1462,97,-639,-736
สาขา0003,SKU-889591-4pn16,กระดานโต้คลื่น 26 นิ้ว,868,-803,65,-621,-686
สาขา0003,SKU-889591-5nmzl,เสื้อชูชีพ (S),642,-4,638,-1,-639
สาขา0003,SKU-889591-4c7k5,ห่วงยางเป่าลมเด็กแฟนซี คละแบบ,877,-488,389,-246,-635
สาขา0003,SKU-889591-3oa5n,แว่นตาว่ายน้ำผู้ใหญ่ 8016-UV,1312,-1080,232,-353,-585
สาขา0003,SKU-889591-kxqqg,แว่นตาว่ายน้ำผู้ใหญ่ 8025-UV,1094,-1056,38,-339,-377
สาขา0003,SKU-889591-9h7yn,สน๊อกเกิ้ลดำน้ำเด็ก คละแบบ,464,-177,287,-79,-366
สาขา0003,SKU-889591-pzgzs,สน๊อกเกิ้ลดำน้ำผู้ใหญ่ คละแบบ,419,-131,288,-64,-352
สาขา0003,SKU-889591-bytqs,ซองกันน้ำ คละแบบ,436,-234,202,-102,-304
สาขา0003,SKU-889591-71uaw,กระเป๋ากันน้ำขนาด 30 ลิตร,267,-28,239,-26,-265
สาขา0003,SKU-889591-mmyjz,กระเป๋ากันน้ำขนาด 40 ลิตร,255,-4,251,0,-251
สาขา0003,SKU-889591-dix01,กางเกงขาสั้น แฟชั่น,254,-53,201,-32,-233
สาขา0003,SKU-889591-9ddv5,เครื่องประดับ คละแบบ,211,-10,201,-7,-208
สาขา0003,SKU-889591-osay9,แว่นตาว่ายน้ำเด็ก 5031,481,-409,72,-128,-200
สาขา0003,SKU-889591-f5qca,ร่มสั้นสามตอน อัตโนมัติ 23 นิ้ว,197,-1,196,-1,-197
สาขา0003,SKU-889591-7p7os,เสื้อชูชีพเป่าลม คละแบบ,197,-5,192,-5,-197
สาขา0003,SKU-889591-4jw4f,ปลอกแขนเด็กลอยน้ำ คละแบบ,187,-13,174,-12,-186
สาขา0003,SKU-889591-jme1d,เสื้อแฟชั่น คละแบบ,186,-40,146,-30,-176
สาขา0003,SKU-889591-cnr64,ชุดเดรสแฟชั่น คละแบบ,188,-47,141,-26,-167
สาขา0003,SKU-601551-ckex9,ชุดเด็ก คละแบบ,159,-27,132,-20,-152
สาขา0003,SKU-889591-6bsgk,ชุดเดรสยาว คละสี,178,-70,108,-34,-142
สาขา0003,SKU-889591-2fp6y,ไม้บีชบอล,168,-38,130,0,-130
สาขา0003,SKU-889591-s5jjm,หมวกสาน คละแบบ,126,15,141,19,-122
สาขา0003,SKU-889591-fve3d,ห่วงยางขาสอดแฟนซี คละแบบ,122,-14,108,-7,-115
สาขา0003,SKU-889591-rbkzp,เสื้อเชิ้ตฮาวาย คละแบบ,122,-20,102,-4,-106
สาขา0003,SKU-889591-59ypf,ห่วงยางเป่าลมแฟนซี คละแบบ,673,524,1197,1095,-102
สาขา0003,SKU-889591-kdrqm,ชุดเดรสสั้น,116,-27,89,-4,-93
สาขา0003,SKU-889591-ps4zo,กระดานโต้คลื่นเป่าลม คละแบบ,92,-1,91,0,-91
สาขา0003,SKU-601551-ky6xc,เสื้อลายช้าง,113,-23,90,0,-90
สาขา0003,SKU-601551-tbql5,หมวกแฟชั่น,93,-8,85,-4,-89
สาขา0003,SKU-889591-styhx,ร่มพับสีพื้น,89,-2,87,-2,-89
สาขา0003,SKU-889591-6jmne,สูบลมมือ,86,-1,85,0,-85
สาขา0003,SKU-889591-xgfee,กระโปรงแฟชั่น คละแบบ,111,-34,77,-8,-85
สาขา0003,SKU-889591-iej5u,ร่มยาวทูโทน,84,-1,83,0,-83
สาขา0003,SKU-889591-w3cnw,แม๊กเน็ตติดตู้เย็น คละแบบ,82,-2,80,-1,-81
สาขา0003,SKU-889591-krrqj,เบ็ดเตล็ด คละแบบ #1,82,-11,71,-8,-79
สาขา0003,SKU-889591-6xszd,สูบลมไฟฟ้า,79,-1,78,0,-78
สาขา0003,SKU-889591-3n0y7,สน๊อกเกิ้ลดำน้ำ 595,332,-315,17,-60,-77
สาขา0003,SKU-889591-oaamv,ร่มยาว POE ทรงญี่ปุ่น 25 นิ้ว,77,-3,74,-3,-77
สาขา0003,SKU-889591-wti57,หมวกว่ายน้ำ ซิลิโคน,75,-1,74,-1,-75
สาขา0003,SKU-889591-7ldi6,ที่วางแก้วลอยน้ำ คละแบบ,73,-3,70,-3,-73
สาขา0003,SKU-889591-mmudd,ชุดเดรสมัดย้อม,71,-9,62,-6,-68
สาขา0003,SKU-889591-4rhmr,กางเกงขาสั้น คละแบบ (หญิง),85,-26,59,-2,-61
สาขา0003,SKU-889591-m3c2l,กางเกงขาสั้น คละแบบ (ชาย),73,-26,47,-14,-61
สาขา0003,SKU-889591-tii1w,ฟุตบอล,73,-69,4,-48,-52
สาขา0003,SKU-889591-3mm9k,แว่นตาว่ายน้ำ คละแบบ,159,-60,99,48,-51
สาขา0003,SKU-889591-ew05l,ตีนกบ คละแบบ,212,-77,135,86,-49
สาขา0003,SKU-889591-m2hjk,ชุดตักทราย RX789-166,48,0,48,0,-48
สาขา0003,SKU-889591-mjv8d,กางเกงขายาว แฟชั่น,59,-22,37,-11,-48
สาขา0003,SKU-889591-isfom,ชุดเล่นทรายถัง 9208,44,-2,42,-2,-44
สาขา0003,SKU-889591-rhr0d,ชุดตักทรายถังบล็อกปราสาท 9257,44,-2,42,-2,-44
สาขา0003,SKU-889591-n4f9a,ตักทรายถังใหญ่ลายการ์ตูน 9297,41,-1,40,-1,-41
สาขา0003,SKU-889591-izgw7,รองเท้าแฟชั่น,54,-24,30,-11,-41
สาขา0003,SKU-889591-jwm1y,เสื้อ+กระโปรง แฟชั่น,54,-19,35,-6,-41
สาขา0003,SKU-889591-dyvaj,กระป๋องตักทราย RX789-48,41,-1,40,0,-40
สาขา0003,SKU-889591-xi4gf,บีชวอลเล่ย์บอล,36,-12,24,-12,-36
สาขา0003,SKU-889591-l9q7r,ผ้าขนหนู คละแบบ,72,-53,19,-15,-34
สาขา0003,SKU-889591-5el1s,โครเชต์ครอป-บราถัก,32,-7,25,-6,-31
สาขา0003,SKU-889591-s1w38,ลูกบอลเป่าลม คละแบบ,54,-24,30,0,-30
สาขา0003,SKU-889591-imkh3,ตักทรายถัง ชุดเล่นทรายจัมโบ้ #9243,28,0,28,0,-28
สาขา0003,SKU-889591-f7q01,ที่อุดหู อุดจมูก,100,-72,28,0,-28
สาขา0003,SKU-889591-otqmh,กระป๋องตักทราย GE10612,17,0,17,0,-17
สาขา0003,SKU-601551-rgz2e,ชุดเดรสยาวแฟชั่น,34,84,118,101,-17
สาขา0003,SKU-601551-da2df,กางเกงขาจั๊ม,16,-7,9,-3,-12
สาขา0003,SKU-889591-r6pvj,เสื้อเชิ้ตแฟชั่น ผู้ชาย,14,-13,1,-8,-9
สาขา0003,SKU-889591-14wc0,ชุดตักทรายรถเข็นจัมโบ้ 9241,8,0,8,0,-8
สาขา0003,SKU-889591-nrkow,กระโปรงแฟชั่น คละสี,14,-14,0,-8,-8
สาขา0003,SKU-889591-rgr8a,พลั่วตักทราย 733-312,8,76,84,76,-8
สาขา0003,SKU-889591-odoft,เสื้อแขนยาว แฟชั่น,9,-9,0,-5,-5
สาขา0003,SKU-889591-pa4ti,ชุดตักทรายถังใหญ่คละแบบ No.9299,5,0,5,0,-5
สาขา0003,SKU-889591-akqku,ของเล่น ชุดโบว์ลิ่ง No.9924,5,0,5,0,-5
สาขา0003,SKU-889591-megh8,สน๊อกเกิ้ลดำน้ำ 658,289,-203,86,83,-3
สาขา0003,SKU-889591-nb70u,กระป๋องตักทราย,3,0,3,0,-3
สาขา0003,SKU-889591-bt2u6,กระป๋องตักทราย GE10611,1,0,1,0,-1
สาขา0003,SKU-889591-un5xj,ตักทรายรถดั้ม+อุปกรณ์ 5510,1,0,1,0,-1
สาขา0003,SKU-889591-ugbf2,ชุดว่ายน้ำ คละแบบ,4,55,59,79,20
สาขา0003,SKU-889591-8p64s,ผ้าชายหาดทอลาย คละแบบ,103,561,664,740,76
สาขา0003,SKU-889591-ebd3l,ของเล่นใต้น้ำ,0,88,88,178,90
สาขา0003,SKU-889591-p2sq3,สน๊อกเกิ้ลดำน้ำ 594,13,113,126,500,374
สาขา0003,SKU-889591-154go,แพยางเป่าลมแฟนซี คละแบบ,121,544,665,1092,427
สาขา0003,SKU-889591-7rd2o,แว่นตาว่ายน้ำผู้ใหญ่ 8016,484,110,594,1158,564
สาขา0003,SKU-889591-vt30v,สน๊อกเกิ้ลดำน้ำ 250,0,15,15,1744,1729
สาขา0004,SKU-889591-9ddv5,เครื่องประดับ คละแบบ,468,-2,466,-2,-468
สาขา0004,SKU-889591-to2e5,หน้ากากดำน้ำ คละแบบ,378,-56,322,-56,-378
สาขา0004,SKU-601551-mt6ah,แว่นตาว่ายน้ำ PVC คละแบบ,369,-24,345,-24,-369
สาขา0004,SKU-769469-x2fcw,ชุดเดรสแฟชั่น คละแบบ #01,248,-14,234,-14,-248
สาขา0004,SKU-889591-pzgzs,สน๊อกเกิ้ลดำน้ำผู้ใหญ่ คละแบบ,199,-56,143,-56,-199
สาขา0004,SKU-889591-bytqs,ซองกันน้ำ คละแบบ,184,-1,183,-1,-184
